"","0","1","m_rate"
"FRG",2054,504,0.197028928850665
"FSM",26,0,0
"GAB",62,1,0.0158730158730159
"GAM",56,0,0
"GBR",8932,1985,0.181826509114226
"GBS",21,0,0
"GDR",1261,843,0.400665399239544
"GEO",215,32,0.129554655870445
"GEQ",40,0,0
"GER",5843,1779,0.23340330621884
"GHA",335,23,0.0642458100558659
"GRE",2738,255,0.0851987971934514
"GRN",52,2,0.037037037037037
"GUA",409,1,0.0024390243902439
"GUI",73,0,0
"GUM",111,0,0
"GUY",101,1,0.00980392156862745
"HAI",99,7,0.0660377358490566
"HKG",669,4,0.00594353640416048
"HON",186,0,0
"HUN",5006,1123,0.18322728014358
"INA",371,41,0.0995145631067961
"IND",1188,190,0.137880986937591
"IOA",88,5,0.0537634408602151
"IRI",644,68,0.0955056179775281
"IRL",1247,35,0.0273010920436817
"IRQ",231,1,0.00431034482758621
"ISL",409,17,0.039906103286385
"ISR",629,9,0.0141065830721003
"ISV",238,1,0.00418410041841004
"ITA",6771,1446,0.175976633807959
"IVB",42,0,0
"JAM",660,157,0.192166462668299
"JOR",79,1,0.0125
"JPN",5486,850,0.13415404040404
"KAZ",761,70,0.0842358604091456
"KEN",662,106,0.138020833333333
"KGZ",209,3,0.0141509433962264
"KIR",11,0,0
"KOR",3140,552,0.149512459371614
"KOS",7,1,0.125
"KSA",224,6,0.0260869565217391
"KUW",282,2,0.00704225352112676
"LAO",54,0,0
"LAT",433,20,0.0441501103752759
"LBA",84,0,0
"LBR",74,0,0
"LCA",28,0,0
"LES",66,0,0
"LIB",234,4,0.0168067226890756
"LIE",93,0,0
"LTU",477,61,0.113382899628253
"LUX",964,6,0.00618556701030928
"MAD",117,0,0
"MAL",45,0,0
"MAR",609,23,0.0363924050632911
"MAS",514,16,0.030188679245283
"MAW",87,0,0
"MDA",183,8,0.0418848167539267
"MDV",49,0,0
"MEX",2700,110,0.0391459074733096
"MGL",427,26,0.0573951434878587
"MHL",14,0,0
"MKD",61,1,0.0161290322580645
"MLI",92,0,0
"MLT",116,0,0
"MNE",75,14,0.157303370786517
"MON",135,1,0.00735294117647059
"MOZ",76,2,0.0256410256410256
"MRI",143,1,0.00694444444444444
"MTN",29,0,0
"MYA",111,0,0
"NAM",73,4,0.051948051948052
"NBO",2,0,0
"NCA",129,0,0
"NED",4246,918,0.177769171185128
"NEP",88,0,0
"NFL",1,0,0
"NGR",783,99,0.112244897959184
"NIG",45,2,0.0425531914893617
"NOR",2008,590,0.227097767513472
"NRU",13,0,0
"NZL",1915,227,0.105975723622782
"OMA",66,0,0
"PAK",439,121,0.216071428571429
"PAN",136,3,0.0215827338129496
"PAR",117,17,0.126865671641791
"PER",507,15,0.028735632183908
"PHI",676,10,0.0145772594752187
"PLE",21,0,0
"PLW",25,0,0
"PNG",108,0,0
"POL",4327,538,0.110585817060637
"POR",1460,41,0.0273151232511659
"PRK",617,65,0.095307917888563
"PUR",881,9,0.0101123595505618
"QAT",187,5,0.0260416666666667
"RHO",12,0,0
"ROT",12,0,0
"ROU",3080,651,0.174484052532833
"RSA",1555,131,0.0776986951364176
"RUS",2678,905,0.252581635500977
"RWA",56,0,0
"SAA",93,0,0
"SAM",63,0,0
"SCG",236,64,0.213333333333333
"SEN",374,1,0.00266666666666667
"SEY",111,0,0
"SGP",340,9,0.0257879656160458
"SKN",42,0,0
