Year,NOC,Percentage_of_Medals,Host_Country
1904,SWZ,0.0,0
1904,SYR,0.0,0
1904,TAN,0.0,0
1904,TCH,0.0,0
1904,TGA,0.0,0
1904,THA,0.0,0
1904,TJK,0.0,0
1904,TKM,0.0,0
1904,TLS,0.0,0
1904,TOG,0.0,0
1904,TPE,0.0,0
1904,TTO,0.0,0
1904,TUN,0.0,0
1904,TUR,0.0,0
1904,TUV,0.0,0
1904,UAE,0.0,0
1904,UAR,0.0,0
1904,UGA,0.0,0
1904,UKR,0.0,0
1904,UNK,0.0,0
1904,URS,0.0,0
1904,URU,0.0,0
1904,USA,0.30284396617986165,1
1904,UZB,0.0,0
1904,VAN,0.0,0
1904,VEN,0.0,0
1904,VIE,0.0,0
1904,VIN,0.0,0
1904,VNM,0.0,0
1904,WIF,0.0,0
1904,YAR,0.0,0
1904,YEM,0.0,0
1904,YMD,0.0,0
1904,YUG,0.0,0
1904,ZAM,0.0,0
1904,ZIM,0.0,0
1906,AFG,0.0,0
1906,AHO,0.0,0
1906,ALB,0.0,0
1906,ALG,0.0,0
1906,AND,0.0,0
1906,ANG,0.0,0
1906,ANT,0.0,0
1906,ANZ,0.0,0
1906,ARG,0.0,0
1906,ARM,0.0,0
1906,ARU,0.0,0
1906,ASA,0.0,0
1906,AUS,0.0017311021350259665,0
1906,AUT,0.0051933064050779,0
1906,AZE,0.0,0
1906,BAH,0.0,0
1906,BAN,0.0,0
1906,BAR,0.0,0
1906,BDI,0.0,0
1906,BEL,0.006347374495095211,0
1906,BEN,0.0,0
1906,BER,0.0,0
1906,BHU,0.0,0
1906,BIH,0.0,0
1906,BIZ,0.0,0
1906,BLR,0.0,0
1906,BOH,0.0017311021350259665,0
1906,BOL,0.0,0
1906,BOT,0.0,0
1906,BRA,0.0,0
1906,BRN,0.0,0
1906,BRU,0.0,0
1906,BUL,0.0,0
1906,BUR,0.0,0
1906,CAF,0.0,0
1906,CAM,0.0,0
1906,CAN,0.001154068090017311,0
1906,CAY,0.0,0
1906,CGO,0.0,0
1906,CHA,0.0,0
1906,CHI,0.0,0
1906,CHN,0.0,0
1906,CIV,0.0,0
1906,CMR,0.0,0
1906,COD,0.0,0
1906,COK,0.0,0
1906,COL,0.0,0
1906,COM,0.0,0
1906,CPV,0.0,0
1906,CRC,0.0,0
1906,CRO,0.0,0
1906,CRT,0.0,0
1906,CUB,0.0,0
1906,CYP,0.0,0
1906,CZE,0.0,0
1906,DEN,0.019619157530294286,0
1906,DJI,0.0,0
1906,DMA,0.0,0
1906,DOM,0.0,0
1906,ECU,0.0,0
1906,EGY,0.0,0
1906,ERI,0.0,0
1906,ESA,0.0,0
1906,ESP,0.0,0
1906,EST,0.0,0
1906,ETH,0.0,0
1906,EUN,0.0,0
1906,FIJ,0.0,0
1906,FIN,0.002308136180034622,0
1906,FRA,0.03693017888055395,0
1906,FRG,0.0,0
1906,FSM,0.0,0
1906,GAB,0.0,0
1906,GAM,0.0,0
1906,GBR,0.022504327755337564,0
1906,GBS,0.0,0
1906,GDR,0.0,0
1906,GEO,0.0,0
1906,GEQ,0.0,0
1906,GER,0.017311021350259664,0
1906,GHA,0.0,0
1906,GRE,0.058857472590882864,1
1906,GRN,0.0,0
1906,GUA,0.0,0
1906,GUI,0.0,0
1906,GUM,0.0,0
1906,GUY,0.0,0
1906,HAI,0.0,0
1906,HKG,0.0,0
1906,HON,0.0,0
1906,HUN,0.0075014425851125215,0
1906,INA,0.0,0
1906,IND,0.0,0
1906,IOA,0.0,0
1906,IRI,0.0,0
1906,IRL,0.0,0
1906,IRQ,0.0,0
1906,ISL,0.0,0
1906,ISR,0.0,0
1906,ISV,0.0,0
1906,ITA,0.03231390652048471,0
1906,IVB,0.0,0
1906,JAM,0.0,0
1906,JOR,0.0,0
1906,JPN,0.0,0
1906,KAZ,0.0,0
1906,KEN,0.0,0
1906,KGZ,0.0,0
1906,KIR,0.0,0
1906,KOR,0.0,0
1906,KOS,0.0,0
1906,KSA,0.0,0
1906,KUW,0.0,0
1906,LAO,0.0,0
1906,LAT,0.0,0
1906,LBA,0.0,0
1906,LBR,0.0,0
1906,LCA,0.0,0
1906,LES,0.0,0
1906,LIB,0.0,0
1906,LIE,0.0,0
1906,LTU,0.0,0
1906,LUX,0.0,0
1906,MAD,0.0,0
1906,MAL,0.0,0
1906,MAR,0.0,0
1906,MAS,0.0,0
1906,MAW,0.0,0
1906,MDA,0.0,0
1906,MDV,0.0,0
1906,MEX,0.0,0
1906,MGL,0.0,0
1906,MHL,0.0,0
1906,MKD,0.0,0
1906,MLI,0.0,0
1906,MLT,0.0,0
1906,MNE,0.0,0
1906,MON,0.0,0
1906,MOZ,0.0,0
1906,MRI,0.0,0
1906,MTN,0.0,0
1906,MYA,0.0,0
1906,NAM,0.0,0
1906,NBO,0.0,0
1906,NCA,0.0,0
1906,NED,0.003462204270051933,0
1906,NEP,0.0,0
1906,NFL,0.0,0
1906,NGR,0.0,0
1906,NIG,0.0,0
1906,NOR,0.014425851125216388,0
1906,NRU,0.0,0
1906,NZL,0.0,0
1906,OMA,0.0,0
1906,PAK,0.0,0
1906,PAN,0.0,0
1906,PAR,0.0,0
1906,PER,0.0,0
1906,PHI,0.0,0
1906,PLE,0.0,0
1906,PLW,0.0,0
1906,PNG,0.0,0
1906,POL,0.0,0
1906,POR,0.0,0
1906,PRK,0.0,0
1906,PUR,0.0,0
1906,QAT,0.0,0
1906,RHO,0.0,0
1906,ROT,0.0,0
1906,ROU,0.0,0
1906,RSA,0.0,0
1906,RUS,0.0,0
1906,RWA,0.0,0
1906,SAA,0.0,0
1906,SAM,0.0,0
1906,SCG,0.0,0
1906,SEN,0.0,0
1906,SEY,0.0,0
1906,SGP,0.0,0
1906,SKN,0.0,0
1906,SLE,0.0,0
1906,SLO,0.0,0
1906,SMR,0.0,0
1906,SOL,0.0,0
1906,SOM,0.0,0
1906,SRB,0.0,0
1906,SRI,0.0,0
1906,SSD,0.0,0
1906,STP,0.0,0
1906,SUD,0.0,0
1906,SUI,0.006924408540103866,0
1906,SUR,0.0,0
1906,SVK,0.0,0
1906,SWE,0.012117714945181766,0
1906,SWZ,0.0,0
1906,SYR,0.0,0
1906,TAN,0.0,0
1906,TCH,0.0,0
1906,TGA,0.0,0
1906,THA,0.0,0
1906,TJK,0.0,0
1906,TKM,0.0,0
1906,TLS,0.0,0
1906,TOG,0.0,0
1906,TPE,0.0,0
1906,TTO,0.0,0
1906,TUN,0.0,0
1906,TUR,0.0,0
1906,TUV,0.0,0
1906,UAE,0.0,0
1906,UAR,0.0,0
1906,UGA,0.0,0
1906,UKR,0.0,0
1906,UNK,0.0,0
1906,URS,0.0,0
1906,URU,0.0,0
1906,USA,0.013848817080207732,0
1906,UZB,0.0,0
1906,VAN,0.0,0
1906,VEN,0.0,0
1906,VIE,0.0,0
1906,VIN,0.0,0
1906,VNM,0.0,0
1906,WIF,0.0,0
1906,YAR,0.0,0
1906,YEM,0.0,0
1906,YMD,0.0,0
1906,YUG,0.0,0
1906,ZAM,0.0,0
1906,ZIM,0.0,0
1908,AFG,0.0,0
1908,AHO,0.0,0
1908,ALB,0.0,0
1908,ALG,0.0,0
1908,AND,0.0,0
1908,ANG,0.0,0
1908,ANT,0.0,0
1908,ANZ,0.006127055788455337,0
1908,ARG,0.0,0
1908,ARM,0.0,0
1908,ARU,0.0,0
1908,ASA,0.0,0
1908,AUS,0.0,0
1908,AUT,0.0003224766204450177,0
1908,AZE,0.0,0
1908,BAH,0.0,0
1908,BAN,0.0,0
1908,BAR,0.0,0
1908,BDI,0.0,0
1908,BEL,0.010641728474685586,0
1908,BEN,0.0,0
1908,BER,0.0,0
1908,BHU,0.0,0
1908,BIH,0.0,0
1908,BIZ,0.0,0
1908,BLR,0.0,0
1908,BOH,0.0019348597226701064,0
1908,BOL,0.0,0
1908,BOT,0.0,0
1908,BRA,0.0,0
1908,BRN,0.0,0
1908,BRU,0.0,0
1908,BUL,0.0,0
1908,BUR,0.0,0
1908,CAF,0.0,0
1908,CAM,0.0,0
1908,CAN,0.01676878426314092,0
1908,CAY,0.0,0
1908,CGO,0.0,0
1908,CHA,0.0,0
1908,CHI,0.0,0
1908,CHN,0.0,0
1908,CIV,0.0,0
1908,CMR,0.0,0
1908,COD,0.0,0
1908,COK,0.0,0
1908,COL,0.0,0
1908,COM,0.0,0
1908,CPV,0.0,0
1908,CRC,0.0,0
1908,CRO,0.0,0
1908,CRT,0.0,0
1908,CUB,0.0,0
1908,CYP,0.0,0
1908,CZE,0.0,0
1908,DEN,0.005482102547565301,0
1908,DJI,0.0,0
1908,DMA,0.0,0
1908,DOM,0.0,0
1908,ECU,0.0,0
1908,EGY,0.0,0
1908,ERI,0.0,0
1908,ESA,0.0,0
1908,ESP,0.0,0
1908,EST,0.0,0
1908,ETH,0.0,0
1908,EUN,0.0,0
1908,FIJ,0.0,0
1908,FIN,0.009674298613350531,0
1908,FRA,0.012899064817800709,0
1908,FRG,0.0,0
1908,FSM,0.0,0
1908,GAB,0.0,0
1908,GAM,0.0,0
1908,GBR,0.11867139632376653,1
1908,GBS,0.0,0
1908,GDR,0.0,0
1908,GEO,0.0,0
1908,GEQ,0.0,0
1908,GER,0.006772009029345372,0
1908,GHA,0.0,0
1908,GRE,0.0012899064817800709,0
1908,GRN,0.0,0
1908,GUA,0.0,0
1908,GUI,0.0,0
1908,GUM,0.0,0
1908,GUY,0.0,0
1908,HAI,0.0,0
1908,HKG,0.0,0
1908,HON,0.0,0
1908,HUN,0.0064495324089003546,0
1908,INA,0.0,0
1908,IND,0.0,0
1908,IOA,0.0,0
1908,IRI,0.0,0
1908,IRL,0.0,0
1908,IRQ,0.0,0
1908,ISL,0.0,0
1908,ISR,0.0,0
1908,ISV,0.0,0
1908,ITA,0.0025798129635601417,0
1908,IVB,0.0,0
1908,JAM,0.0,0
1908,JOR,0.0,0
1908,JPN,0.0,0
1908,KAZ,0.0,0
1908,KEN,0.0,0
1908,KGZ,0.0,0
1908,KIR,0.0,0
1908,KOR,0.0,0
1908,KOS,0.0,0
1908,KSA,0.0,0
1908,KUW,0.0,0
1908,LAO,0.0,0
1908,LAT,0.0,0
1908,LBA,0.0,0
1908,LBR,0.0,0
1908,LCA,0.0,0
1908,LES,0.0,0
1908,LIB,0.0,0
1908,LIE,0.0,0
1908,LTU,0.0,0
1908,LUX,0.0,0
1908,MAD,0.0,0
