Year,Global,Africa,Asia,Europe,North America,Oceania,South America
1896,0.0,,,0.0,0.0,0.0,
1900,0.016045548654244308,,0.0,0.012528473804100227,0.059602649006622516,0.0,0.0
1904,0.012307692307692308,0.0,,0.0,0.013605442176870748,0.0,
1906,0.006489675516224189,0.0,0.0,0.006905210295040804,0.0,0.0,
1908,0.015568068896985757,0.0,0.0,0.01800076599004213,0.0,,0.0
1912,0.020242914979757085,0.0,0.0,0.024897480960749854,0.0,,0.0
1920,0.03247863247863248,0.01680672268907563,0.0,0.031429434874584466,0.03942652329749104,0.14285714285714285,0.0
1924,0.04917363803305448,0.0,0.033707865168539325,0.05149330587023687,0.05843071786310518,0.045454545454545456,0.0
1928,0.08397582829756199,0.1411764705882353,0.015873015873015872,0.0821664464993395,0.11,0.2857142857142857,0.0
1932,0.11859193438140807,0.25,0.11203319502074689,0.10588235294117647,0.14641148325358852,0.12244897959183673,0.023809523809523808
1936,0.07177974434611603,0.1,0.05762081784386617,0.06700091157702825,0.1221264367816092,0.125,0.03205128205128205
1948,0.0974740932642487,0.009569377990430622,0.0069124423963133645,0.10739299610894941,0.11932418162618796,0.17117117117117117,0.08225806451612903
1952,0.17301414581066377,0.02735562310030395,0.065439672801636,0.20599325262948998,0.16042154566744732,0.1375,0.07068607068607069
1956,0.1704136690647482,0.0748663101604278,0.1060126582278481,0.20808451998162608,0.19484240687679083,0.1729957805907173,0.02142857142857143
1960,0.1761111111111111,0.04456824512534819,0.129366106080207,0.19808861859252824,0.21568627450980393,0.18787878787878787,0.03523035230352303
1964,0.17183667580435724,0.045454545454545456,0.14587593728698023,0.19008009858287123,0.2101661779081134,0.2375,0.04132231404958678
1968,0.19755020652328728,0.039886039886039885,0.17119244391971664,0.20454545454545456,0.22729578893962454,0.25862068965517243,0.15560165975103735
1972,0.2010383965225791,0.05698529411764706,0.14781746031746032,0.22300968580203165,0.23755924170616113,0.2356020942408377,0.117096018735363
1976,0.2333720592506535,0.0707070707070707,0.16761041902604756,0.2362555720653789,0.27378964941569284,0.23834196891191708,0.2050561797752809
1980,0.22398271516024487,0.15245901639344261,0.1494661921708185,0.257801108194809,0.17372881355932204,0.29949238578680204,0.14788732394366197
1984,0.25244707489187346,0.09419354838709677,0.24098557692307693,0.26882716049382716,0.3223987698616094,0.2949640287769784,0.13333333333333333
1988,0.28309370352007934,0.13974799541809851,0.30374665477252455,0.29081000743126084,0.32998324958123953,0.2690972222222222,0.2332155477031802
1992,0.31294724579796973,0.22341568206229862,0.31186440677966104,0.32626824183460734,0.3336653386454183,0.3381712626995646,0.22495606326889278
1996,0.36325520654340504,0.24620770128354727,0.3821571238348868,0.36640266777824093,0.39532570860268523,0.3949801849405548,0.2697095435684647
2000,0.3939145299145299,0.32963709677419356,0.39642620780939775,0.38596989491621697,0.4241469816272966,0.46509341199606685,0.366306027820711
2004,0.41326028936648407,0.33407572383073497,0.43590582079790713,0.4022806004618938,0.44707207207207206,0.44802867383512546,0.398110661268556
2008,0.4284037558685446,0.3874734607218684,0.43423423423423424,0.4252481849162839,0.4338074398249453,0.4597839135654262,0.4339152119700748
2012,0.4500399100210435,0.399581589958159,0.4599396580623533,0.4477747502270663,0.4791666666666667,0.4623115577889447,0.4207920792079208
2016,0.4535101729046594,0.38367729831144465,0.46538978494623656,0.45103534174061966,0.4955947136563877,0.48331415420023016,0.41566746602717825
